 G315.9  -0.0,
 G316.3  -0.0,7.2
 G317.3  -0.2,
 G318.2  +0.1,
 G318.9  +0.4,
 G320.4  -1.2,5.2
 G320.6  -1.6,
 G321.9  -1.1,
 G321.9  -0.3,
 G322.1  +0.0,
 G322.5  -0.1,
 G323.5  +0.1,
 G323.7  -1.0,3.5
 G326.3  -1.8,
 G327.1  -1.1,
 G327.2  -0.1,
 G327.4  +0.4,4.3
 G327.4  +1.0,
 G327.6 +14.6,1.85
 G328.4  +0.2,17.4
 G329.7  +0.4,
 G330.0 +15.0,
 G330.2  +1.0,4.9
 G332.0  +0.2,
 G332.4  -0.4,3.1
 G332.4  +0.1,
 G332.5  -5.6,3
 G335.2  +0.1,
 G336.7  +0.5,
 G337.0  -0.1,11
 G337.2  -0.7,2
 G337.2  +0.1,14
 G337.3  +1.0,
 G337.8  -0.1,11
 G338.1  +0.4,
 G338.3  -0.0,8
 G338.5  +0.1,11
 G340.4  +0.4,
 G340.6  +0.3,15
 G341.2  +0.9,
 G341.9  -0.3,
 G342.0  -0.2,
 G342.1  +0.9,
 G343.0  -6.0,
 G343.1  -2.3,
 G343.1  -0.7,
 G344.7  -0.1,6.3
 G345.7  -0.2,
 G346.6  -0.2,
 G347.3  -0.5,1.3
 G348.5  -0.0,
 G348.5  +0.1,8
 G348.7  +0.3,13
 G349.2  -0.1,
 G349.7  +0.2,11.5
 G350.0  -2.0,
 G350.1  -0.3,4.5
 G351.0  -5.4,
 G351.2  +0.1,
 G351.7  +0.8,
 G351.9  -0.9,
 G352.7  -0.1,6.8
 G353.6  -0.7,3.2
 G353.9  -2.0,
 G354.1  +0.1,
 G354.8  -0.8,
 G355.4  +0.7,
 G355.6  -0.0,
 G355.9  -2.5,
 G356.2  +4.5,
 G356.3  -1.5,
 G356.3  -0.3,
 G357.7  -0.1,
 G357.7  +0.3,
 G358.0  +3.8,
 G358.1  +1.0,
 G358.5  -0.9,
 G359.0  -0.9,
 G359.1  -0.5,
 G359.1  +0.9,
